DATE,OPEN,HIGH,CLOSE,LOW,SHARES_TRADED
2015-11-09,7788.25,7937.75,7915.2,7771.7,218422388.0
2015-11-10,7877.6,7885.1,7783.35,7772.85,170267413.0
2015-11-11,7838.8,7847.95,7825.0,7819.1,22380435.0
2015-11-13,7762.45,7775.1,7762.25,7730.9,165876819.0
2015-11-16,7732.95,7838.85,7806.6,7714.15,154134885.0
2015-11-17,7848.75,7860.45,7837.55,7793.0,149451211.0
2015-11-18,7823.15,7843.4,7731.8,7725.05,148037721.0
2015-11-19,7788.5,7854.9,7842.75,7765.45,136702518.0
2015-11-20,7841.9,7906.95,7856.55,7817.8,156610433.0
2015-11-23,7869.5,7877.5,7849.25,7825.2,130871603.0
2015-11-24,7837.0,7870.35,7831.6,7812.65,134562905.0
2015-11-26,7837.15,7897.1,7883.8,7832.0,226632193.0
2015-11-27,7910.6,7959.3,7942.7,7879.45,154863047.0
2015-11-30,7936.25,7966.0,7935.25,7922.8,223041699.0
2015-12-01,7958.15,7972.15,7954.9,7934.15,142945421.0
2015-12-02,7976.7,7979.3,7931.35,7910.8,130207404.0
2015-12-03,7902.3,7912.3,7864.15,7853.3,129628400.0
2015-12-04,7817.6,7821.4,7781.9,7775.7,157231681.0
2015-12-07,7816.55,7825.4,7765.4,7746.05,141893279.0
2015-12-08,7738.5,7771.25,7701.7,7685.45,139318392.0
2015-12-09,7695.5,7702.85,7612.5,7606.9,144315690.0
2015-12-10,7643.3,7691.95,7683.3,7610.0,145249292.0
2015-12-11,7699.6,7703.05,7610.45,7575.3,172996480.0
2015-12-14,7558.2,7663.95,7650.05,7551.05,153492615.0
2015-12-15,7659.15,7705.0,7700.9,7625.1,138479057.0
2015-12-16,7725.25,7776.6,7750.9,7715.75,159149338.0
2015-12-17,7783.05,7852.9,7844.35,7737.55,181256780.0
2015-12-18,7828.9,7836.15,7761.95,7753.35,197319843.0
2015-12-21,7745.65,7840.75,7834.45,7733.45,130174102.0
2015-12-22,7829.4,7846.3,7786.1,7776.85,129633328.0
2015-12-23,7830.45,7871.45,7865.95,7826.1,121480721.0
2015-12-24,7888.75,7888.75,7861.05,7835.5,96374245.0
2015-12-28,7863.2,7937.2,7925.15,7863.0,126737811.0
2015-12-29,7929.2,7942.15,7928.95,7902.75,116535971.0
2015-12-30,7938.6,7944.75,7896.25,7889.85,110145855.0
2015-12-31,7897.8,7955.55,7946.35,7891.15,155645098.0
2016-01-01,7938.45,7972.55,7963.2,7909.8,64843836.0
2016-01-04,7924.55,7937.55,7791.3,7781.1,138864905.0
2016-01-05,7828.4,7831.2,7784.65,7763.25,149672973.0
2016-01-06,7788.05,7800.95,7741.0,7721.2,151715828.0
2016-01-07,7673.35,7674.95,7568.3,7556.6,194732861.0
2016-01-08,7611.65,7634.1,7601.35,7581.05,162348690.0
2016-01-11,7527.45,7605.1,7563.85,7494.35,194836791.0
2016-01-12,7587.2,7588.3,7510.3,7487.8,168975973.0
2016-01-13,7557.9,7590.95,7562.4,7425.8,221908258.0
2016-01-14,7467.4,7604.8,7536.8,7443.8,206988549.0
2016-01-15,7561.65,7566.5,7437.8,7427.3,203643071.0
2016-01-18,7420.35,7463.65,7351.0,7336.4,240798183.0
2016-01-19,7381.8,7462.75,7435.1,7364.15,194068339.0
2016-01-20,7357.0,7470.9,7309.3,7241.5,232614141.0
2016-01-21,7376.65,7398.7,7276.8,7250.0,248113284.0
2016-01-22,7355.7,7433.4,7422.45,7327.6,236282061.0
